Type,Statistics,Definition
Population,Head of Domestic Households,"The person acknowledged by members of the household to be responsible for making major decisions affecting the household. This person can be any male or female member of the household. Household might report more than one household head."
Population,"Persons Attending Full-time Courses in Educational Institutions in Hong Kong","Persons studying full-time (including pre-primary, primary, secondary and post-secondary educational institutions). Full-time students include student workers."
Population,Population,"Population refers to the Hong Kong Resident Population. The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who were not “Usual Residents”, they were classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment."
Population,"Population (Excluding Foreign Domestic Helpers)","Population refers to the Hong Kong Resident Population. The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who were not “Usual Residents”, they were classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment. Foreign domestic helpers are excluded."
Population,"Population Having Internally Migrated","Persons whose area of current residence was different from the area of original residence five years ago. In defining internal migration, a change in the area of residence refers to a move (a) from a District Council District to another District Council District; or (b) within a District Council District in the New Territories, from a new town to another new town, or from a new town to other areas in the district or vice versa."
Population,"Population in Domestic Households","Persons living in a domestic household."
Population,"Children (aged under 18) (excluding foreign domestic helpers)","-"
Population,"Children (aged under 18) (excluding foreign domestic helpers) in domestic household","-"
Population,"Ethnic Minorities","Persons who report themselves being of non-Chinese ethnicity, including those with more than one ethnicity. In the Population Census/By census, the ethnicity of a person is determined by self-identification."
Population,"Ethnic Minorities (Excluding Foreign Domestic Helpers)","Persons who report themselves being of non-Chinese ethnicity, including those with more than one ethnicity. In the Population Census/By census, the ethnicity of a person is determined by self-identification, excluding foreign domestic helpers."
Population,"Median Age","The average age so calculated that 50% of the total number of persons were above that age and the other 50% were below it."
Population,"Mobile Residents","The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who are not “Usual Residents”, they are classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment. Under the “resident population” approach, visitors are not included in the Hong Kong Population."
Population,"Older Persons","Persons aged 65 and over."
Population,"Older Persons in Domestic Households","Persons aged 65 and over in domestic households."
Population,"Persons Aged 60 and Over Living in Domestic Households","-"
Population,"Persons Aged 60 and Over Living in Domestic Households Who Had Another Person Taking Long-Term Care","-"
Population,"Persons Aged 60 and Over With Long-Term Care Needs and Living in Domestic Households","-"
Population,"Persons from the Mainland Having Resided in Hong Kong for Less Than 7 Years","Persons who (i) were born in the Mainland of China; (ii) were with nationality “Chinese (place of domicile – Hong Kong)”; and (iii) had stayed in Hong Kong for less than 7 years."
Population,"Population Aged 15 and Over in One-person Households","A person aged 15 and over in a one-person household makes provision for essentials for living without sharing with other persons for most of the time in Hong Kong."
Population,"Single Parents","Mothers or fathers who are never married, widowed, divorced or separated, with child(ren) aged under 18 living with them in the same household."
Population,"Single Parents in Domestic Households","Mothers or fathers who are never married, widowed, divorced or separated, with child(ren) aged under 18 living with them in the same domestic household."
Population,"Usual Residents","The Hong Kong Resident Population at the reference moment covers “Usual Residents” and “Mobile Residents”. “Usual Residents” refer to two categories of people: (1) Hong Kong Permanent Residents who had stayed in Hong Kong for at least 3 months during the 6 months before or for at least 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment; and (2) Hong Kong Non-permanent Residents who were in Hong Kong at the reference moment. For those Hong Kong Permanent Residents who are not “Usual Residents”, they are classified as “Mobile Residents” if they had stayed in Hong Kong for at least 1 month but less than 3 months during the 6 months before or for at least 1 month but less than 3 months during the 6 months after the reference moment, regardless of whether they were in Hong Kong or not at the reference moment. Under the “resident population” approach, visitors are not included in the Hong Kong Population."
Population,"Youths (Excluding Foreign Domestic Helpers)","Persons aged 15-34, excluding foreign domestic helpers."
Population,"Youths in Domestic Households (Excluding Foreign Domestic Helpers)","Persons aged 15-34 in domestic households, excluding foreign domestic helpers."
Labour Force,Employees,"Persons who work for an employer (private companies or government) for wage, salary, commission, tips or payment in kind. Domestic helpers, outworkers and paid family workers are also included here."
Labour Force,"Employees (Excluding Foreign Domestic Helpers)","Persons who work for an employer (private companies or government) for wage, salary, commission, tips or payment in kind. Outworkers and paid family workers are also included but foreign domestic helpers are excluded."
